MediumMagboltz::LoadGasFile: Reading Ar-iC4H10(90-10).gas.
MediumMagboltz::LoadGasFile: Version 12
MediumMagboltz::LoadGasFile:
    Gas composition set to Ar/iC4H10 (90/10)
E = 60V/cm,  Vx = -1.49969cm/us, to drift 20cm, t = -13.3361us, 0,1V/cm fluctuation, dt = 26.7466ns, 1V/cm fluctuation, dt = 269.275ns, %1 fluctuation, dt = 160.653ns, %10 fluctuation, dt = 1434.91ns
E = 70V/cm,  Vx = -1.79644cm/us, to drift 20cm, t = -11.1331us, 0,1V/cm fluctuation, dt = 18.6041ns, 1V/cm fluctuation, dt = 183.49ns, %1 fluctuation, dt = 129.033ns, %10 fluctuation, dt = 1131.1ns
E = 80V/cm,  Vx = -2.08517cm/us, to drift 20cm, t = -9.59156us, 0,1V/cm fluctuation, dt = 13.0224ns, 1V/cm fluctuation, dt = 128.321ns, %1 fluctuation, dt = 103.057ns, %10 fluctuation, dt = 907.535ns
E = 90V/cm,  Vx = -2.35471cm/us, to drift 20cm, t = -8.4936us, 0,1V/cm fluctuation, dt = 9.21803ns, 1V/cm fluctuation, dt = 91.4674ns, %1 fluctuation, dt = 82.2592ns, %10 fluctuation, dt = 727.399ns
E = 100V/cm,  Vx = -2.59767cm/us, to drift 20cm, t = -7.69921us, 0,1V/cm fluctuation, dt = 6.60375ns, 1V/cm fluctuation, dt = 65.2759ns, %1 fluctuation, dt = 65.2759ns, %10 fluctuation, dt = 615.509ns
E = 110V/cm,  Vx = -2.82338cm/us, to drift 20cm, t = -7.0837us, 0,1V/cm fluctuation, dt = 5.28847ns, 1V/cm fluctuation, dt = 52.2545ns, %1 fluctuation, dt = 57.4037ns, %10 fluctuation, dt = 517.054ns
E = 120V/cm,  Vx = -3.02646cm/us, to drift 20cm, t = -6.60839us, 0,1V/cm fluctuation, dt = 4.22474ns, 1V/cm fluctuation, dt = 41.745ns, %1 fluctuation, dt = 49.9615ns, %10 fluctuation, dt = 429.506ns
E = 130V/cm,  Vx = -3.20121cm/us, to drift 20cm, t = -6.24764us, 0,1V/cm fluctuation, dt = 3.49569ns, 1V/cm fluctuation, dt = 34.6806ns, %1 fluctuation, dt = 44.9662ns, %10 fluctuation, dt = 390.799ns
E = 140V/cm,  Vx = -3.37023cm/us, to drift 20cm, t = -5.93432us, 0,1V/cm fluctuation, dt = 2.68581ns, 1V/cm fluctuation, dt = 26.5329ns, %1 fluctuation, dt = 36.9456ns, %10 fluctuation, dt = 317.759ns
E = 150V/cm,  Vx = -3.50993cm/us, to drift 20cm, t = -5.69811us, 0,1V/cm fluctuation, dt = 2.10269ns, 1V/cm fluctuation, dt = 20.8391ns, %1 fluctuation, dt = 31.1035ns, %10 fluctuation, dt = 285.048ns
E = 160V/cm,  Vx = -3.63569cm/us, to drift 20cm, t = -5.50103us, 0,1V/cm fluctuation, dt = 1.83691ns, 1V/cm fluctuation, dt = 18.2431ns, %1 fluctuation, dt = 29.0557ns, %10 fluctuation, dt = 256.928ns
E = 170V/cm,  Vx = -3.7507cm/us, to drift 20cm, t = -5.33233us, 0,1V/cm fluctuation, dt = 1.54776ns, 1V/cm fluctuation, dt = 15.363ns, %1 fluctuation, dt = 25.9667ns, %10 fluctuation, dt = 234.277ns
E = 180V/cm,  Vx = -3.85403cm/us, to drift 20cm, t = -5.18938us, 0,1V/cm fluctuation, dt = 1.33014ns, 1V/cm fluctuation, dt = 13.22ns, %1 fluctuation, dt = 23.6668ns, %10 fluctuation, dt = 211.823ns
E = 190V/cm,  Vx = -3.95132cm/us, to drift 20cm, t = -5.0616us, 0,1V/cm fluctuation, dt = 1.18203ns, 1V/cm fluctuation, dt = 11.7258ns, %1 fluctuation, dt = 22.1006ns, %10 fluctuation, dt = 176.797ns
E = 200V/cm,  Vx = -4.03288cm/us, to drift 20cm, t = -4.95924us, 0,1V/cm fluctuation, dt = 0.894594ns, 1V/cm fluctuation, dt = 8.85547ns, %1 fluctuation, dt = 17.5111ns, %10 fluctuation, dt = 152.806ns
E = 210V/cm,  Vx = -4.1008cm/us, to drift 20cm, t = -4.8771us, 0,1V/cm fluctuation, dt = 0.764289ns, 1V/cm fluctuation, dt = 7.59008ns, %1 fluctuation, dt = 15.8044ns, %10 fluctuation, dt = 139.109ns
E = 220V/cm,  Vx = -4.16109cm/us, to drift 20cm, t = -4.80643us, 0,1V/cm fluctuation, dt = 0.65473ns, 1V/cm fluctuation, dt = 6.51591ns, %1 fluctuation, dt = 14.2434ns, %10 fluctuation, dt = 132.161ns
E = 230V/cm,  Vx = -4.21563cm/us, to drift 20cm, t = -4.74425us, 0,1V/cm fluctuation, dt = 0.629915ns, 1V/cm fluctuation, dt = 6.26291ns, %1 fluctuation, dt = 14.2849ns, %10 fluctuation, dt = 119.969ns
E = 240V/cm,  Vx = -4.26879cm/us, to drift 20cm, t = -4.68517us, 0,1V/cm fluctuation, dt = 0.551917ns, 1V/cm fluctuation, dt = 5.48531ns, %1 fluctuation, dt = 13.0389ns, %10 fluctuation, dt = 102.443ns
E = 250V/cm,  Vx = -4.31334cm/us, to drift 20cm, t = -4.63678us, 0,1V/cm fluctuation, dt = 0.427817ns, 1V/cm fluctuation, dt = 4.24317ns, %1 fluctuation, dt = 10.4627ns, %10 fluctuation, dt = 91.0379ns
E = 260V/cm,  Vx = -4.35029cm/us, to drift 20cm, t = -4.5974us, 0,1V/cm fluctuation, dt = 0.375418ns, 1V/cm fluctuation, dt = 3.73442ns, %1 fluctuation, dt = 9.61848ns, %10 fluctuation, dt = 84.1275ns
E = 270V/cm,  Vx = -4.38404cm/us, to drift 20cm, t = -4.562us, 0,1V/cm fluctuation, dt = 0.332394ns, 1V/cm fluctuation, dt = 3.30501ns, %1 fluctuation, dt = 8.82734ns, %10 fluctuation, dt = 74.4689ns
E = 280V/cm,  Vx = -4.41474cm/us, to drift 20cm, t = -4.53027us, 0,1V/cm fluctuation, dt = 0.297244ns, 1V/cm fluctuation, dt = 2.95115ns, %1 fluctuation, dt = 8.14444ns, %10 fluctuation, dt = 62.3886ns
E = 290V/cm,  Vx = -4.44159cm/us, to drift 20cm, t = -4.50289us, 0,1V/cm fluctuation, dt = 0.235346ns, 1V/cm fluctuation, dt = 2.33246ns, %1 fluctuation, dt = 6.63595ns, %10 fluctuation, dt = 50.4782ns
E = 300V/cm,  Vx = -4.46265cm/us, to drift 20cm, t = -4.48164us, 0,1V/cm fluctuation, dt = 0.189303ns, 1V/cm fluctuation, dt = 1.87261ns, %1 fluctuation, dt = 5.48196ns, %10 fluctuation, dt = 40.6427ns
E = 310V/cm,  Vx = -4.47951cm/us, to drift 20cm, t = -4.46478us, 0,1V/cm fluctuation, dt = 0.152029ns, 1V/cm fluctuation, dt = 1.50542ns, %1 fluctuation, dt = 4.55946ns, %10 fluctuation, dt = 32.1081ns
E = 320V/cm,  Vx = -4.49317cm/us, to drift 20cm, t = -4.4512us, 0,1V/cm fluctuation, dt = 0.119273ns, 1V/cm fluctuation, dt = 1.17813ns, %1 fluctuation, dt = 3.65595ns, %10 fluctuation, dt = 25.1684ns
